192.168.1.7:60001,2400.0,1538164,0.1
192.168.1.7:60005,2400.0,8886413,0.1
192.168.1.7:60004,2400.0,7480631,0.1
192.168.1.7:60011,2400.0,7637851,0.1
192.168.1.7:60009,2400.0,5609220,0.1
192.168.1.7:60006,2400.0,545590,0.1
192.168.1.7:60017,2400.0,5198939,0.1
192.168.1.7:60014,2400.0,972626,0.1
192.168.1.7:60008,2400.0,5111095,0.1
192.168.1.7:60024,2400.0,6523570,0.1
192.168.1.7:60016,2400.0,9053389,0.1
192.168.1.7:60007,2400.0,4895828,0.1
192.168.1.7:60010,2400.0,9221336,0.1
192.168.1.7:60012,2400.0,8997936,0.1
192.168.1.7:60027,2400.0,7385951,0.1
192.168.1.7:60015,2400.0,9576085,0.1
192.168.1.7:60026,2400.0,6192913,0.1
192.168.1.7:60028,2400.0,605578,0.1
192.168.1.7:60000,2400.0,3155341,0.1
192.168.1.7:60022,2400.0,4555532,0.1
192.168.1.7:60003,2400.0,7375695,0.1
192.168.1.7:60018,2400.0,9749282,0.1
192.168.1.7:60002,2400.0,4529443,0.1
192.168.1.7:60021,2400.0,5645971,0.1
192.168.1.7:60019,2400.0,1663760,0.1
192.168.1.7:60020,2400.0,6821282,0.1
192.168.1.7:60013,2400.0,9493205,0.1
192.168.1.7:60025,2400.0,2980330,0.1
192.168.1.7:60029,2400.0,930284,0.1
192.168.1.7:60023,2400.0,5911572,0.1
