0.14, 0.25, 1159.18, 1126.68, 0.20
0.57, 0.97, 1161.56, 1218.44, 0.80
0.58, 0.97, 1130.76, 1186.26, 0.80
0.39, 0.52, 981.06, 1157.23, 0.53
0.45, 0.78, 1230.09, 890.74, 0.67
0.65, 0.84, 1067.47, 905.82, 0.87

0.09, 0.26, 2499.82, 2474.77, 0.10
0.63, 0.96, 2538.21, 2299.45, 0.73
0.69, 0.95, 2350.80, 2194.09, 0.80
0.46, 0.60, 2276.18, 2437.72, 0.53
0.67, 0.80, 2327.88, 1267.44, 0.77
0.89, 0.95, 2077.80, 1749.01, 1.00

0.23, 0.32, 4755.91, 5426.74, 0.25
0.70, 0.95, 4570.05, 4204.23, 0.75
0.70, 0.96, 4374.20, 4538.91, 0.75
0.34, 0.45, 4192.95, 4625.52, 0.37
0.81, 0.86, 4595.36, 2694.72, 0.87
0.78, 0.95, 4089.80, 3483.68, 0.83

0.69, 0.89, 2367.65, 1469.44, 0.80
0.69, 0.83, 2344.25, 1399.31, 0.80
0.69, 0.83, 2454.73, 1529.56, 0.80
0.69, 0.76, 2230.50, 1354.07, 0.80
0.69, 0.80, 2393.13, 1438.38, 0.80
0.67, 0.80, 2400.28, 1536.54, 0.77

0.74, 0.92, 2209.71, 2042.40, 0.83
0.74, 0.91, 2189.80, 1977.99, 0.83
0.76, 0.92, 2279.11, 1861.09, 0.87
0.86, 0.95, 2096.16, 1884.53, 0.97
0.74, 0.95, 2084.22, 1823.47, 0.83
0.89, 0.96, 2013.40, 1849.81, 1.00
0.77, 0.95, 2021.21, 1777.31, 0.87
0.84, 0.96, 2009.35, 1775.94, 0.93
0.89, 0.95, 2040.34, 1744.06, 1.00
0.87, 0.95, 1943.35, 1749.40, 0.97
0.87, 0.95, 1925.66, 1762.75, 0.97
0.87, 0.96, 1954.12, 1727.64, 0.97
0.90, 0.96, 1920.73, 1757.52, 1.00
0.87, 0.96, 1921.14, 1731.65, 0.97

0.73, 0.89, 2191.27, 2099.59, 0.83
0.77, 0.92, 2273.50, 1911.70, 0.87
0.78, 0.93, 2065.83, 1727.29, 0.87
0.84, 0.93, 2007.17, 1762.41, 0.93
0.78, 0.93, 1858.41, 1805.93, 0.87

