voyage: 297.26, 253.69, 127.95, 139.04, 195.96, 276.63, 151.95, 255.08, 268.85, 344.33, 
time: 123.42, 153.79, 256.22, 211.46, 221.39, 239.28, 234.14, 247.57, 481.25, 233.63, 
tasks: 5, 3, 1, 1, 2, 4, 2, 3, 4, 5, 
voyage: 232.83, 219.69, 296.30, 255.90, 317.52, 191.87, 228.93, 239.94, 302.82, 252.42, 
time: 137.72, 126.40, 167.06, 155.06, 242.16, 236.54, 260.06, 261.28, 351.25, 361.92, 
tasks: 3, 3, 4, 3, 4, 2, 2, 3, 3, 3, 
voyage: 267.32, 214.31, 244.62, 206.67, 235.27, 178.22, 291.83, 203.17, 251.65, 257.75, 
time: 124.21, 137.77, 159.83, 244.61, 237.62, 191.40, 255.93, 228.58, 285.24, 328.89, 
tasks: 3, 2, 3, 3, 2, 2, 3, 4, 3, 5, 
voyage: 310.17, 208.10, 226.65, 223.41, 184.57, 368.24, 165.37, 230.88, 165.15, 193.62, 
time: 122.47, 156.20, 172.97, 135.55, 248.39, 296.41, 293.46, 282.06, 434.77, 295.45, 
tasks: 5, 1, 3, 4, 1, 6, 2, 4, 1, 3, 
voyage: 180.84, 283.66, 325.29, 167.07, 201.79, 229.70, 186.36, 277.87, 250.49, 224.81, 
time: 82.08, 103.06, 114.11, 111.13, 76.67, 196.83, 154.21, 133.41, 162.27, 133.66, 
tasks: 2, 4, 4, 1, 3, 3, 2, 3, 4, 4, 
voyage: 184.43, 217.22, 271.02, 221.77, 236.31, 222.11, 206.67, 246.72, 225.53, 228.13, 
time: 110.45, 178.32, 171.35, 181.44, 180.72, 163.11, 197.36, 193.74, 189.45, 275.90, 
tasks: 3, 2, 3, 4, 4, 3, 2, 2, 4, 3, 
voyage: 204.63, 202.26, 244.62, 206.68, 236.31, 189.69, 263.88, 175.39, 225.91, 128.45, 
time: 110.45, 178.32, 129.58, 144.53, 145.40, 173.56, 200.54, 215.69, 163.14, 287.79, 
tasks: 3, 2, 3, 4, 4, 2, 3, 3, 4, 2, 



voyage: 168.25, 279.54, 77.94, 462.75, 306.74, 214.90, 159.50, 143.94, 282.31, 323.08, 
time: 112.32, 151.50, 223.67, 196.77, 222.14, 221.45, 352.99, 358.49, 290.39, 484.03, 
tasks: 1, 3, 1, 7, 4, 3, 2, 1, 5, 3, 
voyage: 232.83, 219.69, 296.30, 255.90, 317.52, 191.87, 228.93, 239.94, 302.82, 252.42, 
time: 137.72, 126.40, 167.06, 155.06, 242.16, 236.54, 260.06, 261.28, 351.25, 361.92, 
tasks: 3, 3, 4, 3, 4, 2, 2, 3, 3, 3, 
voyage: 267.32, 214.31, 244.62, 206.67, 235.27, 178.22, 291.83, 203.17, 251.65, 257.75, 
time: 124.21, 137.77, 159.83, 244.61, 237.62, 191.40, 255.93, 228.58, 285.24, 328.89, 
tasks: 3, 2, 3, 3, 2, 2, 3, 4, 3, 5, 
voyage: 310.17, 208.10, 226.65, 223.41, 184.57, 368.24, 165.37, 230.88, 165.15, 193.62, 
time: 122.47, 156.20, 172.97, 135.55, 248.39, 296.41, 293.46, 282.06, 434.77, 295.45, 
tasks: 5, 1, 3, 4, 1, 6, 2, 4, 1, 3, 
voyage: 180.84, 283.66, 325.29, 167.07, 201.79, 229.70, 186.36, 277.87, 250.49, 224.81, 
time: 82.08, 103.06, 114.11, 111.13, 76.67, 196.83, 154.21, 133.41, 162.27, 133.66, 
tasks: 2, 4, 4, 1, 3, 3, 2, 3, 4, 4, 
voyage: 184.43, 217.22, 271.02, 221.77, 236.31, 222.11, 206.67, 246.72, 225.53, 228.13, 
time: 110.45, 178.32, 171.35, 181.44, 180.72, 163.11, 197.36, 193.74, 189.45, 275.90, 
tasks: 3, 2, 3, 4, 4, 3, 2, 2, 4, 3, 
voyage: 181.23, 228.81, 188.81, 206.68, 236.31, 199.84, 205.36, 256.98, 161.93, 213.51, 
time: 100.81, 165.91, 151.37, 183.19, 162.80, 196.11, 138.90, 200.79, 251.96, 246.84, 
tasks: 2, 3, 2, 4, 4, 3, 2, 4, 3, 3, 

