0,0.2232,0.2333,1351.68,840.14,0.9950
2,0.2928,0.3000,1475.22,803.18,0.9851
13,0.3877,0.4000,1424.04,844.10,0.9322
21,0.4237,0.4333,1266.59,785.06,0.8956
28,0.4822,0.5000,1460.36,856.77,0.8647
50,0.4836,0.5000,1511.11,748.81,0.7744
58,0.4903,0.5000,1285.19,728.24,0.7440
64,0.5146,0.5333,1433.21,813.26,0.7219
70,0.5198,0.5333,1403.65,767.77,0.7005
76,0.6119,0.6333,1446.14,809.25,0.6798
150,0.6429,0.6667,1380.21,827.96,0.4691
165,0.6470,0.6667,1355.65,746.85,0.4351
184,0.6798,0.7000,1454.87,861.59,0.3956
194,0.7116,0.7333,1351.32,716.39,0.3763
231,0.7161,0.7333,1390.01,755.61,0.3126
250,0.7771,0.8000,1394.56,727.62,0.2842
267,0.7781,0.8000,1416.21,777.59,0.2610
292,0.8116,0.8333,1403.00,845.42,0.2302
319,0.8383,0.8667,1369.22,730.91,0.2011
320,0.8744,0.9000,1360.06,753.53,0.2001
335,0.8765,0.9000,1340.53,766.85,0.1856
371,0.9079,0.9333,1335.28,810.61,0.1549
373,0.9098,0.9333,1344.45,757.56,0.1534
404,0.9104,0.9333,1338.80,729.49,0.1313
406,0.9411,0.9667,1311.75,786.79,0.1300
430,0.9425,0.9667,1327.52,724.46,0.1153
438,0.9426,0.9667,1336.75,757.56,0.1107
526,0.9715,1.0000,1325.59,725.54,0.0712
547,0.9752,1.0000,1326.37,725.54,0.0641
567,0.9762,1.0000,1319.61,725.54,0.0580
708,0.9763,1.0000,1314.77,725.54,0.0286
762,0.9765,1.0000,1289.80,725.54,0.0218
790,0.9777,1.0000,1313.04,724.89,0.0190
